film,year_film,decade_film,year_ceremony,oscars_won,adult,backdrop_path,id_tmdb,original_language,original_title,overview,popularity,poster_path,release_date,video,vote_average,vote_count,genres_ids,genres
A Single Life,2014,2010,2015,0,FALSE,/dcU4N6fmxbgnVfAgajvh375oEER.jpg,289280,xx,A Single Life,"When Pia plays a mysterious vinyl record single, she suddenly knows how to travel through her own life.",2.052,/5bB8kazv5QBfVHEGoDDLEVw0FwB.jpg,2014-12-04,FALSE,7,58,"16, 35","Animation, Comedy"
American Sniper,2014,2010,2015,1,FALSE,/rl95VDEP3nsUQmGzE0S1S7y6T0N.jpg,190859,en,American Sniper,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",4.574,/vJgtfUmZE5i4L12sOryAPuBa04K.jpg,2014-12-25,FALSE,7.4,12982,"10752, 28","War, Action"
Aya,2014,2010,2015,0,FALSE,/csJRtCakw3iK9eDEXwOjwsQoLgB.jpg,280819,es,Ayahuasca,"Three people fly from Chile and Spain to Iquitos, Peru to experience the magic of the sacred plant ayahuasca.",0.01,/e0Xe7YtoKZ5DuJq8GdZKJe3gCWk.jpg,2014-05-01,FALSE,0,0,NA,NA
Begin Again,2014,2010,2015,0,FALSE,/Z3ocAumcK9Iooc9BMlu7wE7XX9.jpg,198277,en,Begin Again,"Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",3.541,/qx4HXHXt528hS4rwePZbZo20xqZ.jpg,2014-07-11,FALSE,7.2,3801,"35, 10402, 10749, 18","Comedy, Music, Romance, Drama"
Beyond the Lights,2014,2010,2015,0,FALSE,/2RZIAureYbJCCqyduAgM1RwtRRl.jpg,241771,en,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be?",3.534,/5Di9UXTa2bDec68WOFcZzgB1ot3.jpg,2014-11-14,FALSE,6.832,376,"10749, 18","Romance, Drama"
Big Hero 6,2014,2010,2015,1,FALSE,/4s2d3xdyqotiVNHTlTlJjrr3q0H.jpg,177572,en,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",5.727,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,2014-11-07,FALSE,7.729,15791,"12, 10751, 16, 28, 35","Adventure, Family, Animation, Action, Comedy"
Birdman or (The Unexpected Virtue of Ignorance),2014,2010,2015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boogaloo and Graham,2014,2010,2015,0,FALSE,/yQkZ2gGjX7mceVFllHzUFZmNHMG.jpg,307686,en,Boogaloo and Graham,"In 1970s Belfast two young boys discover the facts of life, aided by the help of their pet chickens.",0.852,/7G3sDcnsKkotYrznOeWfsNKxF5l.jpg,2014-08-01,FALSE,6.4,24,"18, 35","Drama, Comedy"
Boyhood,2014,2010,2015,1,FALSE,/mVH9yTLSk2g7RXkpmKCJ4HKijWX.jpg,85350,en,Boyhood,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",3.585,/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,2014-07-11,FALSE,7.499,5216,18,Drama
Butter Lamp (La Lampe Au Beurre De Yak),2014,2010,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Captain America: The Winter Soldier,2014,2010,2015,0,FALSE,/1RWLMyC9KcFfcaoViMiJGSSZzzr.jpg,100402,en,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",2.603,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,2014-04-04,FALSE,7.656,18978,"28, 12, 878","Action, Adventure, Science Fiction"
CitizenFour,2014,2010,2015,1,FALSE,/1WSc0OO5u8uHS74XQvTJDRdaIlQ.jpg,293310,en,Citizenfour,"In June 2013, Laura Poitras and reporter Glenn Greenwald flew to Hong Kong for the first of many meetings with Edward Snowden. She brought her camera with her.",3.541,/nOVhX69EAxtSKEEnr5UcSd5UVci.jpg,2014-10-10,FALSE,7.747,1305,99,Documentary
Dawn of the Planet of the Apes,2014,2010,2015,0,FALSE,/zlU8BIkgY7E6SMfD3USTWC6bchL.jpg,119450,en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",4.907,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,2014-07-11,FALSE,7.33,11579,"878, 28, 18, 53","Science Fiction, Action, Drama, Thriller"
Ernest & Celestine,2014,2010,2014,0,FALSE,/6zvLHD4rbHUNuRQLoIC2rkV8ayi.jpg,126319,fr,Ernest et Célestine,"Celestine is a little mouse trying to avoid a dental career while Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together.",3.539,/iJPbRASktYW0I009Ktc2zUE6Fvg.jpg,2014-02-28,FALSE,7.761,610,"16, 35, 18, 10751, 12","Animation, Comedy, Drama, Family, Adventure"
Feast,2014,2010,2015,1,FALSE,/2xyyn4Rc9kbkaojG9am1FInCmxr.jpg,293299,en,Feast,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",3.535,/6hAgSxgd2YIK5pYhwowtnlGpwbe.jpg,2014-11-07,FALSE,7.837,860,"16, 35, 18, 10751","Animation, Comedy, Drama, Family"
Finding Vivian Maier,2014,2010,2015,0,FALSE,/ajukqMGU1d5d1Csx0jUGPDsXpFC.jpg,169607,en,Finding Vivian Maier,"Vivian Maier's photos were seemingly destined for obscurity, lost among the clutter of the countless objects she'd collected throughout her life. Instead these images have shaken the world of street photography and irrevocably changed the life of the man who brought them to the public eye. This film brings to life the interesting turns and travails of the improbable saga of John Maloof's discovery of Vivian Maier, unravelling this mysterious tale through her documentary films, photographs, odd collections and personal accounts from the people that knew her. What started as a blog to show her work quickly became a viral sensation in the photography world. Photos destined for the trash heap now line gallery exhibitions, a forthcoming book and this documentary film.",3.534,/yaj9mpHNpns5j4ODP4352PgDWJM.jpg,2014-03-21,FALSE,7.562,308,99,Documentary
Foxcatcher,2014,2010,2015,0,FALSE,/tT8vexYdyHG0nHyXQkhzt8tbFkt.jpg,87492,en,Foxcatcher,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,4.034,/w6Sl079QtUcQ9dVQ2RP6aN9NBXx.jpg,2014-11-14,FALSE,6.653,2325,"18, 53","Drama, Thriller"
Glen Campbell...I'll Be Me,2014,2010,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gone Girl,2014,2010,2015,0,FALSE,/1ufic9NSdolkgNkQSAVjlVp0uqn.jpg,210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",7.8,/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,2014-10-03,FALSE,7.9,18866,"9648, 53, 18","Mystery, Thriller, Drama"
Guardians of the Galaxy,2014,2010,2015,0,FALSE,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2.532,/jPrJPZKJVhvyJ4DmUTrDgmFN0yG.jpg,2014-08-01,FALSE,7.904,28332,"28, 878, 12","Action, Science Fiction, Adventure"
Helium,2014,2010,2014,1,FALSE,/dvh7vNYlxZ4QlZ0MFAmvTuj2G9E.jpg,249699,da,Helium,"A young boy, Alfred, is dying, but through the stories about Helium, a magical fantasy world, told by the hospital's eccentric janitor, Enzo, Alfred regains the joy and happiness of his life, and finds a safe haven away from daily life.",1.346,/106jqyOgNfueCC06Wmvv7WGWatC.jpg,2014-03-04,FALSE,7.2,38,"18, 10751","Drama, Family"
How to Train Your Dragon 2,2014,2010,2015,0,FALSE,/5MnP0h7RcUCeX7gpxMYoMScmfq7.jpg,82702,en,How to Train Your Dragon 2,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",4.365,/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg,2014-06-13,FALSE,7.7,9736,"14, 28, 12, 16, 35, 10751","Fantasy, Action, Adventure, Animation, Comedy, Family"
Ida,2014,2010,2015,1,FALSE,/c9SvfYLJyai34bafR1AvqD9vAJi.jpg,209274,pl,Ida,"Anna, a young novitiate in 1960s Poland, is on the verge of taking her vows when she discovers a family secret dating back to the years of the German occupation.",3.533,/rQnBiFyHeSDxSaIgZpDaK52lflZ.jpg,2014-05-02,FALSE,7.2,983,18,Drama
Inherent Vice,2014,2010,2015,0,FALSE,/zwC3N0QQC2OCPDz2UWKNoq5vXm7.jpg,171274,en,Inherent Vice,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",5.328,/hyan5Uc0lGpPuad94DM1pLxneiP.jpg,2014-12-12,FALSE,6.554,2507,"18, 9648, 35","Drama, Mystery, Comedy"
Interstellar,2014,2010,2015,1,FALSE,/8sNiAPPYU14PUepFNeSNGUTiHW.jpg,157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,7.8,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,FALSE,8.452,36692,"12, 18, 878","Adventure, Drama, Science Fiction"
Into the Woods,2014,2010,2015,0,FALSE,/qF938YRj7RoYkjwOsXFDNYf907J.jpg,224141,en,Into the Woods,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",3.542,/pf0TdnITu380Zp8DMQx0jcwDsAS.jpg,2014-12-25,FALSE,5.753,4257,"14, 35","Fantasy, Comedy"
Last Days in Vietnam,2014,2010,2015,0,FALSE,/5dGKnKBUdj70bQtF1IQVUtHFVGl.jpg,250761,en,Last Days in Vietnam,"During the chaotic final weeks of the Vietnam War, the North Vietnamese Army closes in on Saigon as the panicked South Vietnamese people desperately attempt to escape. On the ground, American soldiers and diplomats confront a moral quandary: whether to obey White House orders to evacuate only U.S. citizens.",3.181,/6HUVUGg9DmmMvwXinoJJBUTa4NI.jpg,2014-09-05,FALSE,7.2,90,"10752, 99","War, Documentary"
Leviathan,2014,2010,2015,0,FALSE,/sWox47IZKKbdCAk9RFsLfYhvL0g.jpg,265180,ru,Левиафан,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",3.534,/dwmHSBBiu2ow271zrQ33rPKZDSC.jpg,2014-12-25,FALSE,7.4,866,"18, 80","Drama, Crime"
Maleficent,2014,2010,2015,0,FALSE,/4hfcpHmMEgmFTdnVx4XCtM6dgCG.jpg,102651,en,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",4.485,/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg,2014-05-30,FALSE,7.089,13214,"14, 12, 28, 10751, 10749","Fantasy, Adventure, Action, Family, Romance"
Me and My Moulton,2014,2010,2015,0,FALSE,/l2kQawPbSgfd4hvXq0XzaXPrIRG.jpg,289024,no,Me and My Moulton,"A seven-year-old girl longs for a bicycle so that she can be more like the other kids in her Norwegian town, but her embarrassingly unconventional, modernist architect parents see things differently. Academy Award-winning animator Torill Kove weaves memory and fantasy together in this droll and charming look at the pain of childhood alienation.",0.922,/nMXicIhX2AaGGrAyuspmuzxpIUq.jpg,2014-09-11,FALSE,6,26,16,Animation
Mr. Turner,2014,2010,2015,0,FALSE,/74IaLYwgko2nTLj8Gz9ukQ4RIvC.jpg,245700,en,Mr. Turner,"Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.",3.535,/rnVhl1PFSOoW5c6UhZJZt5TV98p.jpg,2014-12-19,FALSE,6.531,524,"36, 18","History, Drama"
Nightcrawler,2014,2010,2015,0,FALSE,/vabhkZ3vwf8u7yXCSi3zbVzAVRa.jpg,242582,en,Nightcrawler,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",5.831,/gYPIRu0jX2CGYdeO422cq3N78ju.jpg,2014-10-31,FALSE,7.7,10935,"80, 18, 53","Crime, Drama, Thriller"
Prison Terminal: The Last Days of Private Jack Hall,2014,2010,2014,0,FALSE,NA,249726,en,Prison Terminal: The Last Days of Private Jack Hall,"The final months in the life of a terminally ill prisoner and the hospice volunteers, they themselves prisoners, who care for him in one of America's oldest maximum security prisons.",0.358,/4pFV2a1tt3ZyTQMHmSVFxZAJrAX.jpg,2014-03-31,FALSE,6.8,10,99,Documentary
Selma,2014,2010,2015,1,FALSE,/kVGUdR1CXKAyCFj5Tt4uyR2bpFx.jpg,273895,en,Selma,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",3.534,/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg,2014-12-25,FALSE,7.4,2208,"36, 18","History, Drama"
Song of the Sea,2014,2010,2015,0,FALSE,/mVLZvSe1Aa8CFKx0cInTamVZJrW.jpg,110416,en,Song of the Sea,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",3.578,/16LQC6zpqB0l74mVWb93a2oMFnX.jpg,2014-12-19,FALSE,8.01,1444,"10751, 16, 14","Family, Animation, Fantasy"
Still Alice,2014,2010,2015,1,FALSE,/cWMeHXEGeZ8cjEOmznjVGr04Ofu.jpg,284293,en,Still Alice,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",3.536,/MeJJCT1o87j7D0mR3yQs4s4PIA.jpg,2014-12-05,FALSE,7.5,3105,18,Drama
Tangerines,2014,2010,2015,0,FALSE,NA,356421,ja,ねこにみかん,"Tomohiro takes his fiance Machiko to his hometown of Aridagawa in Wakayama Prefecture to see his family.Tomohiro’s family includes three siblings. His younger brother Takeshi refuses to go to school. His older sister Yumi isn't interested in their family. Younger sister Sayaka has an inferiority complex and has a fear of dating. There's also Satomi who everybody calls Mama and she does all of the housework. Kayoko is called Kaka and she works as a snack bar manager. Narumi is called Haha and she is a high school teacher. Finally, there's their father Shoichiro better known as Chichi. It's an unusual family, but able to exist in harmony. Due to Machiko's appearance, the family becomes shaken.",0.04,NA,2014-04-22,FALSE,4,1,35,Comedy
The Bigger Picture,2014,2010,2015,0,FALSE,/qy46IXMwzho4CldQjjcFXBWwwf6.jpg,307695,en,The Bigger Picture,"'You want to put her in a home; you tell her; tell her now!' hisses one brother to the other. But Mother won't go, and their own lives quickly unravel as she clings to life. Director Daisy Jacobs uses two-metre-high painted characters in full-size sets to tell the stark and darkly humorous tale of caring for an elderly relative. The Bigger Picture is quite simply the most innovative animated short you will see this year.",0.64,/qdlrC3LDx1plsiXbiDhsFXg4duq.jpg,2014-05-21,FALSE,6.6,18,"18, 16","Drama, Animation"
The Boxtrolls,2014,2010,2015,0,FALSE,/q2vz5DeLbegD2teJU29Gtb4t2sO.jpg,170687,en,The Boxtrolls,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.",3.575,/npBf0yc5Gt7aAyyVOcYtFyT2IPa.jpg,2014-09-26,FALSE,6.696,1696,"16, 35, 10751, 14","Animation, Comedy, Family, Fantasy"
The Dam Keeper,2014,2010,2015,0,FALSE,/k4LiMhxliHuTmeJtYr705QH5qzy.jpg,254273,en,The Dam Keeper,"In a desolate future, one small town has survived because of a large windmill dam that acts as a fan to keep out pollution. The dam's operator, Pig, works tirelessly to keep the sails spinning and protect the town, despite abuse from classmates and an indifferent public. When a new student joins Pig's class, nothing will be the same again.",1.486,/ypSnBDA75IJyf8DPVqnNYd7qJqY.jpg,2014-02-06,FALSE,7.4,42,"16, 18, 10751, 14","Animation, Drama, Family, Fantasy"
The Grand Budapest Hotel,2014,2010,2015,4,FALSE,/jK65srQczOKTpW62wPxwwKztGgE.jpg,120467,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",3.639,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2014-03-07,FALSE,8.042,15013,"35, 18","Comedy, Drama"
The Hobbit: The Battle of the Five Armies,2014,2010,2015,0,FALSE,/zn13a7U9eMTJq8sHthe3bCgsVm4.jpg,122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",7.116,/xT98tLqatZPQApyRmlPL12LtiWp.jpg,2014-12-17,FALSE,7.324,14477,"28, 12, 14","Action, Adventure, Fantasy"
The Imitation Game,2014,2010,2015,1,FALSE,/gLQoJ9P79g501oEEtrN8zMlCPpx.jpg,205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",5.649,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-28,FALSE,7.996,17207,"36, 18, 53, 10752","History, Drama, Thriller, War"
The Judge,2014,2010,2015,0,FALSE,/sPantp0oQ9idos7Jdwko2r6ZOIa.jpg,205587,en,The Judge,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",5.865,/3K93GWotLXe4FqpErri0xkpLaD5.jpg,2014-10-10,FALSE,7.321,4136,18,Drama
The Lego Movie,2014,2010,2015,0,FALSE,/9531Jp42H0ppRXjkxxgCulnQNZp.jpg,137106,en,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",3.841,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,2014-02-07,FALSE,7.416,7945,"16, 10751, 12, 35, 14","Animation, Family, Adventure, Comedy, Fantasy"
The Missing Picture,2014,2010,2014,0,FALSE,/MD2Q2YCgTaR3n2bqmCWljq3Hmg.jpg,186997,fr,L'image manquante,"Rithy Panh uses clay figures, archival footage, and his narration to recreate the atrocities Cambodia's Khmer Rouge committed between 1975 and 1979.",3.145,/vPE5WXwdwKvQ1un90yKEBrh7aY6.jpg,2014-03-19,FALSE,7.1,89,99,Documentary
The Reaper (La Parka),2014,2010,2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Salt of the Earth,2014,2010,2015,0,FALSE,/lqtzWKCpejXdKb22cav5bB6MqSR.jpg,265297,fr,Le sel de la terre,"During the last forty years, the photographer Sebastião Salgado has been travelling through the continents, in the footsteps of an ever-changing humanity. He has witnessed the major events of our recent history: international conflicts, starvations and exodus… He is now embarking on the discovery of pristine territories, of the wild fauna and flora, of grandiose landscapes: a huge photographic project which is a tribute to the planet's beauty. Salgado's life and work are revealed to us by his son, Juliano, who went with him during his last journeys, and by Wim Wenders, a photographer himself.",3.572,/jRmQNj8NacAHJnzwfvFvglKSGB6.jpg,2014-08-29,FALSE,8.1,614,99,Documentary
The Tale of the Princess Kaguya,2014,2010,2015,0,FALSE,/imUJOrtNf8EWameChpaRLXSaX4w.jpg,149871,ja,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",3.8,/mWRQNlWXYYfd2z4FRm99MsgHgiA.jpg,2014-10-17,FALSE,8.095,1809,"16, 18, 14","Animation, Drama, Fantasy"
The Theory of Everything,2014,2010,2015,1,FALSE,/ke3lanTAgCqPMpOyutIfXzYih2s.jpg,266856,en,The Theory of Everything,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",4.331,/kJuL37NTE51zVP3eG5aGMyKAIlh.jpg,2014-11-26,FALSE,7.845,10627,"18, 10749","Drama, Romance"
The Wind Rises,2014,2010,2014,0,FALSE,/938lqhAQaO3hmLg44VbUR7OqlMs.jpg,149870,ja,風立ちぬ,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",3.83,/jfwSexzlIzaOgxP9A8bTA6t8YYb.jpg,2014-02-21,FALSE,7.784,3071,"18, 16, 10749, 10752, 36","Drama, Animation, Romance, War, History"
"Two Days, One Night",2014,2010,2015,0,FALSE,/PS5u6V1ZWzkZYFHYUCCStz1Yhu.jpg,221902,fr,"Deux jours, une nuit",Sandra is a young woman who has only one weekend to convince her colleagues they must give up their bonuses in order for her to keep her job — not an easy task in this economy.,3.534,/na05HMiEEftqzBFnBOtqAgAr7zz.jpg,2014-12-24,FALSE,6.9,944,18,Drama
Unbroken,2014,2010,2015,0,FALSE,/3sRj3VnrSUYhp6j1V43LXgKKdux.jpg,227306,en,Unbroken,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",3.868,/vAlHUjHwLWMV5mg4epGR9WSIfiy.jpg,2014-12-25,FALSE,7.428,4152,"18, 10752","Drama, War"
Virunga,2014,2010,2015,0,FALSE,/6KDpjoCxlNapSzqUdagloiQqljh.jpg,263614,en,Virunga,"Virunga in the Democratic Republic of the Congo is Africa’s oldest national park, a UNESCO world heritage site, and a contested ground among insurgencies seeking to topple the government that see untold profits in the land. Among this ongoing power struggle, Virunga also happens to be the last natural habitat for the critically endangered mountain gorilla. The only thing standing in the way of the forces closing in around the gorillas: a handful of passionate park rangers and journalists fighting to secure the park’s borders and expose the corruption of its enemies. Filled with shocking footage, and anchored by the surprisingly deep and gentle characters of the gorillas themselves, Virunga is a galvanizing call to action around an ongoing political and environmental crisis in the Congo.",3.534,/b59YdJZyRUu04hnWdmmz4kPjbTF.jpg,2014-11-07,FALSE,7.906,223,"99, 10752","Documentary, War"
Whiplash,2014,2010,2015,3,FALSE,/bF8eIIIJJoMZf2mFibAejqEGQcX.jpg,244786,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",7.957,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,2014-10-10,FALSE,8.375,15452,"18, 10402","Drama, Music"
Wild,2014,2010,2015,0,FALSE,/wlP3Sjw5WVvjsi2CGFp84QwrZZC.jpg,228970,en,Wild,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,3.536,/ohhWI4Xwf4m4HjbQiIkyAhLekUy.jpg,2014-12-05,FALSE,7,2507,18,Drama
X-Men: Days of Future Past,2014,2010,2015,0,FALSE,/hUPgIibqZlwbhs4N08cPzzc4f5K.jpg,127585,en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,4.567,/tYfijzolzgoMOtegh1Y7j2Enorg.jpg,2014-05-23,FALSE,7.5,15471,"28, 12, 878","Action, Adventure, Science Fiction"
45 Years,2015,2010,2016,0,FALSE,/nfISD7hILE6UYqXGT1cubcgsxUA.jpg,311291,en,45 Years,"There is just one week until Kate Mercer's 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband. The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five days later, there may not be a marriage left to celebrate.",3.534,/8elIJYYXWq2HpcZ6TgVMC9EwTnn.jpg,2015-12-23,FALSE,6.6,744,"18, 10749","Drama, Romance"
A Girl in the River: The Price of Forgiveness,2015,2010,2016,1,FALSE,/pk1y03CNZraPoGDY7ZxfkSm2dd6.jpg,369364,pa,A Girl in the River: The Price of Forgiveness,A woman in Pakistan sentenced to death for falling in love becomes a rare survivor of the country's harsh judicial system.,1.593,/iXwiT1dBrRxPpswddALB2kmqAmq.jpg,2015-10-28,FALSE,7.133,45,99,Documentary
Amy,2015,2010,2016,1,FALSE,/8YiAnbmo8ARHNVt25Cp5fVt4rNd.jpg,331781,en,Amy,"A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",3.535,/qL0RepWSNUuZoeDXfyhqowVYhrn.jpg,2015-07-10,FALSE,7.6,1254,"99, 10402","Documentary, Music"
Anomalisa,2015,2010,2016,0,FALSE,/aGqMsQgZQSSOsAixziMfFYfqgWH.jpg,291270,en,Anomalisa,An inspirational speaker becomes reinvigorated after meeting a lively woman who shakes up his mundane existence.,3.541,/4DJ1zNr4Y6q7zQ27goEYla46VdO.jpg,2015-12-30,FALSE,7.116,1713,"16, 18, 10749, 35","Animation, Drama, Romance, Comedy"
Ave Maria,2015,2010,2016,0,FALSE,/bSjjeUfFWwNqZ6wrn9XGnOPxPJw.jpg,348396,ar,السلام عليك يا مريم,The silent routine of 5 Nuns living in the West Bank wilderness is disturbed when an Israeli settler family breaks down right outside the convent just as the Sabbath comes into effect.,1.381,/hUnM4GHR7MdzDoEgcWvOXtVSLs6.jpg,2015-05-18,FALSE,5.7,39,35,Comedy
